Model,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,CV R² Mean,CV R² Std
OLS Linear Regression,455.8372648668898,399.41868891442704,21.350345778625925,19.98546193898022,14.097368552917585,12.901359338018322,0.885359789939373,0.9034041224574011,0.882398805770622,0.00721803586900511
Ridge Regression,456.21119677698266,398.713324952347,21.35910102923301,19.967807214422596,14.119580100502098,12.918508926587748,0.8852657484117811,0.9035747084935459,0.882503077321959,0.00736234459772625
Lasso Regression,456.8081831282733,398.89634842262075,21.373071448162833,19.972389652282992,14.08736468703353,12.892333637076943,0.885115610092714,0.9035304458858796,0.882501999526745,0.007362422513652891
ElasticNet,464.2337160334993,400.2553248732109,21.54608354280423,20.00638210354913,14.356479395886355,13.174520392832425,0.8832481351895469,0.9032017894497943,0.8808892653049938,0.007459963853554345
