Model,Train MSE,Test MSE,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,CV R² Mean,CV R² Std
Linear Regression,109107426.78277351,30775142.856781192,10445.450051710242,5547.53484502632,2286.0665334467553,1404.437848307603,0.9412268025828195,0.9825277846008161,0.9368471555686785,0.03733177259636077
Polynomial (Degree 2),15955212.440570913,758389900.8711797,3994.39763175512,27538.87980421825,1095.8681531415596,2679.197445893878,0.9914053618689981,0.5694332999118079,0.9774417366485348,0.014171384982483826
Polynomial (Degree 3),7721955.345963456,1707750975.0850012,2778.840647817621,41324.94373964714,902.0012777057126,3575.3740463143686,0.9958403930935101,0.030445024294119882,0.9798188065554687,0.018049806347554494
Polynomial (Degree 4),4313082.762952254,3386749651.730051,2076.796273819908,58195.78723352792,627.494942061473,4616.9729084288265,0.9976766598555356,-0.9227861814815175,0.9799319699597028,0.02648676264257465
Polynomial (Degree 5),3093579.7837861557,5764805169.978671,1758.85752230991,75926.31408134251,513.4138424758122,5803.773930469407,0.9983335728765719,-2.2728984600635944,0.9646150370865072,0.035784230030628646
