Feature,Coefficient,Abs_Coefficient
FUELCONSUMPTION_COMB,75.86922521802134,75.86922521802134
FUELCONSUMPTION_CITY,-53.0400928254406,53.0400928254406
FUELCONSUMPTION_COMB_MPG,-29.448437672960818,29.448437672960818
FUELCONSUMPTION_HWY,-15.249027689705008,15.249027689705008
CYLINDERS,13.129589099042335,13.129589099042335
ENGINESIZE,12.669963204701498,12.669963204701498
